district_code,name,label
120918,1209182013,AEK LOBA
120918,1209182002,AEK LOBA AFD I
120918,1209181001,AEK LOBA PEKAN
120918,1209182003,ALANG BONBON
120918,1209182010,LOBU JIUR
120918,1209182011,RAWA SARI
120918,1209182009,SENGON SARI
120932,1209322001,AEK BANGE
120932,1209322002,AEK KORSIK
120932,1209322003,AEK LEDONG
120932,1209322005,AEK NABUNTU
120932,1209322004,LEDONG BARAT
120932,1209322006,LEDONG TIMUR
120932,1209322007,PADANG SIPIROK
120921,1209212004,AEK BAMBAN
120921,1209212001,AEK SONGSONGAN
120921,1209212006,LOBU RAPPA
120921,1209212005,MARJANJI ACEH
120921,1209212009,MEKAR MARJANJI
120921,1209212003,PERKEBUNAN BANDAR PULAU
120921,1209212002,PERKEBUNAN BANDAR SELAMAT
120921,1209212008,SITUNJAK
120921,1209212007,TANGGA
120913,1209132013,AIR GENTING
120913,1209132012,AIR TELUK HESSA
120913,1209132010,DANAU SIJABUT
120913,1209132014,HESSA AIR GENTING
120913,1209132007,HESSA PERLOMPONGAN
120913,1209132008,PERKEBUNAN AIR BATU I/II
120913,1209132009,PERKEBUNAN AIR BATU III/IX
120913,1209132006,PERKEBUNAN PULAHAN
120913,1209132003,PINANGGIRIPAN
120913,1209132019,PULAU PULE
120913,1209132001,SEI ALIM ULU
120913,1209132018,SIJABUT TERATAI
120909,1209092002,AIR JOMAN
120909,1209092003,AIR JOMAN BARU
120909,1209092005,BANJAR
120909,1209091001,BINJAI SERBANGAN
120909,1209092007,PASAR LEMBU
120909,1209092008,PUNGGULAN
120909,1209092012,SUBUR
120917,1209172001,BANDAR PASIR MANDOGE
120917,1209172009,GOTTING SIDODADI
120917,1209172002,HUTA BAGASAN
120917,1209172007,HUTA PADANG
120917,1209172006,SEI KOPAS
120917,1209172003,SEI NADORAS
120917,1209172004,SILAU JAWA
120917,1209172005,SUKA MAKMUR
120917,1209172008,TOMUAN HOLBUNG
120915,1209152020,AEK NAGALI
120915,1209152003,BANDAR PULAU PEKAN
120915,1209152005,BUNTU MARAJA
120915,1209152021,GAJAH SAKTI
120915,1209152006,GONTING MALAHA
120915,1209152022,GUNUNG BERKAT
120915,1209152019,HUTA RAO
120915,1209152010,PADANG PULAU
120915,1209152012,PERKEBUNAN AEK TARUM
120915,1209152016,PERKEBUNAN PADANG PULAU
120916,1209162001,AMBALUTU
120916,1209162002,BUNTU PANE
120916,1209162019,KARYA AMBALUTU
120916,1209162003,LESTARI
120916,1209162017,MEKAR SARI
120916,1209162018,PERKEBUNAN SEI SILAU
120916,1209162005,PRAPAT JANJI
120916,1209162007,SEI SILAU TIMUR
120916,1209162016,SIONGGANG
120919,1209191001,BUNUT
120919,1209191002,BUNUT BARAT
120919,1209191003,DADIMULYO
120919,1209191004,KISARAN BARAT
120919,1209191005,KISARAN BARU
120919,1209191006,KISARAN KOTA
120919,1209191007,MEKAR BARU
120919,1209191008,SEI RENGGAS
120919,1209191009,SENDANG SARI
120919,1209191010,SIDODADI
120919,1209191011,SIDOMUKTI
120919,1209191012,TEBING KISARAN
120919,1209191013,TEGAL SARI
120920,1209201012,GAMBIR BARU
120920,1209201011,KARANG ANYER
120920,1209201010,KEDAI LEDANG
120920,1209201009,KISARAN NAGA
120920,1209201008,KISARAN TIMUR
120920,1209201007,LESTARI
