district_code,name,label
640312,6403122005,AMPEN MEDANG
640312,6403122006,BALIKUKUP
640312,6403122003,BATU PUTIH
640312,6403122002,KAYU INDAH
640312,6403122004,LOBANG KELATAK
640312,6403122007,SUMBER AGUNG
640312,6403122001,TEMBUDAN
640313,6403132006,BIATAN BAPINANG
640313,6403132007,BIATAN BARU
640313,6403132002,BIATAN ILIR
640313,6403132004,BIATAN LEMPAKE
640313,6403132001,BIATAN ULU
640313,6403132008,BUKIT MAKMUR JAYA
640313,6403132003,KARANGAN
640313,6403132005,MANUNGGAL JAYA
640308,6403082001,BIDUK-BIDUK
640308,6403082009,GIRING-GIRING
640308,6403082002,PANTAI HARAPAN
640308,6403082003,TANJUNG PREPAT
640308,6403082008,TELUK SULAIMAN
640308,6403082004,TELUK SUMBANG
640306,6403062011,BATU-BATU
640306,6403062002,BIRANG
640306,6403061003,GUNUNG TABUR
640306,6403062004,MALUANG
640306,6403062010,MELATI JAYA
640306,6403062008,MERANCANG ILIR
640306,6403062007,MERANCANG ULU
640306,6403062009,PULAU BESING
640306,6403062006,SAMBAKUNGAN
640306,6403062005,SAMBURAKAT
640306,6403062001,TASUK
640301,6403012006,LESAN DAYAK
640301,6403012007,LONG BELIU
640301,6403012008,LONG DUHUNG
640301,6403012010,LONG KELUH
640301,6403012009,LONG LAMCIN
640301,6403012011,LONG PELAY
640301,6403012013,LONG SULUI
640301,6403012012,MAPULU
640301,6403012001,MERABU
640301,6403012003,MERAPUN
640301,6403012005,MERASA
640301,6403012004,MUARA LESAN
640301,6403012002,PANAAN
640301,6403012014,SIDO BANGEN
640311,6403112001,BOHE SILIAN
640311,6403112002,PAYUNG-PAYUNG
640311,6403112003,TELUK ALULU
640311,6403112004,TELUK HARAPAN
640307,6403072009,KASAI
640307,6403072001,PEGAT BATUMBUK
640307,6403072004,PULAU DERAWAN
640307,6403072003,TANJUNG BATU
640307,6403072002,TELUK SEMANTING
640303,6403032015,BENA BARU
640303,6403032011,GURIMBANG
640303,6403032004,INARAN
640303,6403032001,LONG LANUK
640303,6403032005,PEGAT BUKUR
640303,6403032009,PESAYAN
640303,6403032008,PILANJAU
640303,6403032006,RANTAU PANJANG
640303,6403031013,SAMBALIUNG
640303,6403032010,SEI BEBANIR BANGUN
640303,6403032007,SUARAN
640303,6403032012,SUKAN TENGAH
640303,6403032014,TANJUNG PERANGAT
640303,6403032002,TUMBIT DAYAK
640304,6403042012,BATU RAJANG
640304,6403042009,BUKIT MAKMUR
640304,6403042007,GUNUNG SARI
640304,6403042010,HARAPAN JAYA
640304,6403042004,LONG AYAN
640304,6403042003,LONG AYAP
640304,6403042001,LONG LA'AI
640304,6403042008,PANDAN SARI
640304,6403042006,PUNAN MAHKAM
640304,6403042005,PUNAN MALINAU
640304,6403042002,PUNAN SEGAH
640304,6403042013,SIDUUNG INDAH
640304,6403042011,TEPIAN BUAH
640310,6403102006,BUYUNG-BUYUNG
640310,6403102007,HARAPAN MAJU
640310,6403102005,SEMURUT
640310,6403102002,TABALAR MUARA
640310,6403102004,TABALAR ULU
640310,6403102003,TUBAAN
640302,6403022015,BUMI JAYA
640302,6403022014,CAMPUR SARI
640302,6403022023,CAPUAK
640302,6403022002,DUMARING
640302,6403022021,EKA SAPTA
640302,6403022019,PURNA SARI JAYA
640302,6403022018,SUKA MURYA
640302,6403022017,SUMBER MULYA
640302,6403022003,TALISAYAN
640302,6403022016,TUNGGAL BUMI
640305,6403051005,BUGIS
640305,6403051006,GAYAM
640305,6403051008,GUNUNG PANJANG
640305,6403051007,KARANG AMBUN
640305,6403051003,SUNGAI BEDUNGUN
640305,6403051004,TANJUNG REDEB
640309,6403092004,LABANAN JAYA
640309,6403092006,LABANAN MAKARTI
640309,6403092005,LABANAN MAKMUR
640309,6403091003,RINDING
640309,6403091002,TELUK BAYUR
640309,6403092001,TUMBIT MELAYU
640707,6407072007,ASA
640707,6407072020,BALOK ASA
640707,6407071001,BARONG TONGKOK
