district_code,name,label
610704,6107042006,BANI AMAS
610704,6107042004,BHAKTI MULYA
610704,6107041001,BUMI EMAS
610704,6107041010,SEBALO
610704,6107042009,SETIA BUDI
610704,6107042003,TIRTA KENCANA
610711,6107112004,ARIS
610711,6107112001,CAPKALA
610711,6107112002,MANDOR
610711,6107112006,PAWANGI
610711,6107112005,SEBANDUT
610711,6107112003,SETANDUK
610707,6107072007,GERSIK
610707,6107072001,JAGOI
610707,6107072002,KUMBA
610707,6107072006,SEKIDA
610707,6107072008,SEMUNYING JAYA
610707,6107072009,SINAR BARU
610703,6107032005,DAYUNG
610703,6107032007,JESAPE
610703,6107032001,LESABELA
610703,6107032011,LOMBA KARYA
610703,6107032004,RODAYA
610703,6107032013,SELES
610703,6107032002,SEMANGAT
610703,6107032003,SERANGKAT
610703,6107032012,SIDAI
610703,6107032019,SUKA DAMAI
610703,6107032021,SUKA JAYA
610703,6107032018,TEBUAH MARONG
610716,6107162007,GODANG DAMAR
610716,6107162003,JANYAT
610716,6107162008,KINANDE
610716,6107162002,LEMBAH BAWANG
610716,6107162006,PAPAN TEMBAWANG
610716,6107162005,PAPAN UDUK
610716,6107162001,SAKA TARU
610716,6107162004,TEMPAPAN
610713,6107132004,BELIMBING
610713,6107132005,LAMOLDA
610713,6107132001,MAGMAGAN KARYA
610713,6107132003,SEREN SELIMBAU
610713,6107132002,TIGA BERKAT
610708,6107082007,BERINGIN BARU
610708,6107082002,GERANTUNG
610708,6107082004,GOA BOMA
610708,6107082011,JAHANDUNG
610708,6107082010,MEKAR BARU
610708,6107082003,MONTERADO
610708,6107082006,NEK GINAP
610708,6107082009,RANTAU
610708,6107082008,SENDORENG
610708,6107082012,SERINDU
610708,6107082013,SIAGA
610702,6107022004,BABANE
610702,6107022006,BUKIT SERAYAN
610702,6107022007,MARUNSU
610702,6107022005,PASTI JAYA
610702,6107022002,SABA'U
610702,6107022001,SAMALANTAN
610702,6107022003,TUMIANG
610706,6107062003,BANGE
610706,6107062004,DANTI
610706,6107062002,GUA
610706,6107062001,LEMBANG
610706,6107062005,SANGO
610705,6107052002,BENGKAWAN
610705,6107052005,KALON
610705,6107052004,MAYAK
610705,6107052003,SAHAN
610705,6107052001,SELUAS
610705,6107052006,SENTANGAU JAYA
610712,6107122005,HLI BUEI
610712,6107122004,SIDING
610712,6107122002,SUNGKUNG  I
610712,6107122007,SUNGKUNG II
610712,6107122008,SUNGKUNG III
610712,6107122009,TAMONG
610712,6107122006,TANGGUH
610712,6107122010,TAWANG
610714,6107142001,CIPTA KARYA
610714,6107142003,KARYA BHAKTI
610714,6107142002,SUKA BANGUN
610714,6107142004,SUKA MAJU
610701,6107012001,SUNGAI DURI
610701,6107012004,SUNGAI JAGA A
610701,6107012005,SUNGAI JAGA B
610701,6107012006,SUNGAI PANGKALAN I
610701,6107012007,SUNGAI PANGKALAN II
610715,6107152004,KARIMUNTING
610715,6107152005,PULAU LEMUKUTAN
610715,6107152001,RUKMA JAYA
610715,6107152002,SUNGAI KERAN
610715,6107152003,SUNGAI RAYA
610710,6107102004,CEMPAKA PUTIH
610710,6107102006,KELAYUK
610710,6107102005,KIUNG
610710,6107102002,MUHI BERSATU
610710,6107102001,NANGKA
610710,6107102003,SUKA MAJU
610710,6107102007,SUTI SEMARANG
610710,6107102008,TAPEN
610709,6107092007,AMPAR BENTENG
610709,6107092018,BANA
610709,6107092004,BANGUN SARI
610709,6107092014,BENTENG
610709,6107092001,DHARMA BHAKTI
610709,6107092013,LULANG
610709,6107092006,MALO JELAYAN
610709,6107092010,PUTENG
610709,6107092015,SEBENTE
610709,6107092005,SEBETUNG MENYALA
610709,6107092011,SEKARUH
610709,6107092003,SETIA JAYA
610709,6107092002,SUMBER KARYA
610709,6107092008,TANJUNG
610709,6107092009,TELIDIK
610709,6107092017,TEMIA SIO
610709,6107092016,TERIAK
610709,6107092012,TUBAJUR
610717,6107172003,BENGKILU
610717,6107172002,KAMUH
610717,6107172004,PISAK
610717,6107172001,SINAR TEBUDAK
610614,6106142001,BADAU
610614,6106142002,JANTING
610614,6106142004,KEKURAK
610614,6106142005,PULAU MAJANG
610614,6106142007,SEBINDANG
610614,6106142003,SEMUNTIK
610614,6106142006,SERIANG
610614,6106142009,TAJUM
610614,6106142008,TINTING SELIGI
610612,6106122005,LABIAN
610612,6106122010,LABIAN IRA'ANG
610612,6106122008,LANJAK DERAS
610612,6106122007,MELEMBA
610612,6106122006,MENSIAU
610612,6106122002,SEPANDAN
610612,6106122001,SETULANG
610612,6106122004,SUNGAI ABAU
610612,6106122003,SUNGAI AJUNG
610612,6106122009,SUNGAI SENUNUK
610602,6106022002,BIKA
610602,6106022008,BIKA HULU
610602,6106022003,JELEMUK
610602,6106022012,JONGKONG MANDAY
610602,6106022010,MELAPI MANDAY
610602,6106022009,NANGA MANDAY
610602,6106022011,PENYELUANG
610602,6106022001,TELUK SINDUR
610619,6106192002,BOYAN TANJUNG
610619,6106192013,DELINTAS KARYA
610619,6106192011,KARYA MAJU
610619,6106192012,LANDAU MENTAIL
610619,6106192008,MUJAN
610619,6106192007,NANGA BETUNG
610619,6106192006,NANGA BOYAN
610619,6106192001,NANGA DANAU
610619,6106192009,NANGA JEMAH
610619,6106192015,NANGA RET
610619,6106192004,NANGA SANGAN
610619,6106192016,PEMAWAN
610619,6106192003,RIAM MENGELAI
610619,6106192005,SRI WANGI
610619,6106192014,TELUK GERUGUK
610619,6106192010,TUBANG JAYA
610605,6106052001,BUNUT HILIR
610605,6106052002,BUNUT HULU
610605,6106052009,BUNUT TENGAH
610605,6106052007,EMPANGAU
610605,6106052012,EMPANGAU HILIR
610605,6106052010,ENTIBAB
610605,6106052011,KAPUAS RAYA
610605,6106052004,NANGA TUAN
610605,6106052003,TELUK AUR
610605,6106052008,TEMBANG
610605,6106052006,UJUNG PANDANG
610606,6106062013,BAKONG PERMAI
610606,6106062008,BATU TIGA
610606,6106062014,BERINGIN
610606,6106062004,NANGA DUA
610606,6106062011,NANGA KELIBANG
610606,6106062007,NANGA PAYANG
610606,6106062003,NANGA SEMANGUT
610606,6106062001,NANGA SURUK
