district_code,name,label
720106,7201061020,BALANTAK
720106,7201062027,BOLOAK
720106,7201061030,DALE-DALE
720106,7201062013,DOLOM
720106,7201062014,KILOMA
720106,7201062021,LUOK
720106,7201062018,MAMPING
720106,7201062017,PADANG
720106,7201062015,RA'U
720106,7201061031,TALANG BATU
720106,7201062009,TALIMA A
720106,7201062010,TALIMA B
720106,7201062016,TANOTU
720118,7201182004,BOOY
720118,7201182002,DONDO
720118,7201182007,GIWANG
720118,7201182009,GORONTALO
720118,7201182010,POYANG
720118,7201182006,RESARNA
720118,7201182003,SEPE
720118,7201182011,TANGGAWAS
720118,7201182005,TINTINGON
720118,7201182001,TOMBOS
720118,7201182008,TONGKE
720119,7201192007,BATU MANDI
720119,7201192006,BATU SIMPANG
720119,7201192001,KAMPANGAR
720119,7201192002,KUNTANG
720119,7201192005,ONDOLIANG
720119,7201192008,PANGKALASEANG
720119,7201192009,PANGKALASEANG BARU
720119,7201192003,PULAU DUA
720119,7201192004,TEKU
720119,7201192010,TOWEER
720101,7201011023,BAKUNG
720101,7201011007,BALANTANG
720101,7201011008,BATUI
720101,7201011006,BUGIS
720101,7201012011,HONBOLA
720101,7201012003,KAYOWA
720101,7201011010,LAMO
720101,7201012002,NONONG
720101,7201012005,ONDO-ONDOLU
720101,7201012016,ONDO-ONDOLU I
720101,7201011017,SISIPAN
720101,7201011009,TOLANDO
720101,7201012012,USO
720115,7201152008,BONEBALANTAK
720115,7201152002,GORI-GORI
720115,7201152001,MAASING
720115,7201152010,MALEO JAYA
720115,7201152009,MASUNGKANG
720115,7201152007,OMBOLU
720115,7201152006,PAISU BULOLI
720115,7201152003,SINORANG
720115,7201152004,SUKAMAJU
720115,7201152005,SUKAMAJU SATU
720108,7201082015,BIMA KARYA
720108,7201082011,BINSIL
720108,7201082012,BINSIL PADANG
720108,7201082001,BUALEMO A
720108,7201082007,BUALEMO B
720108,7201082020,DWI KARYA
720108,7201082019,LEMBAH MAKMUR
720108,7201082013,LEMBAH TOMPOTIKA
720108,7201082005,LONGKOGA BARAT
720108,7201082006,LONGKOGA TIMUR
720108,7201082010,MALIK
720108,7201082018,MALIK MAKMUR
720108,7201082014,MAYAYAP
720108,7201082017,NIPA KALEMOAN
720108,7201082016,SALIPI
720108,7201082009,SAMPAKA
720108,7201082008,TAIMA
720108,7201082002,TIKUPAN
720108,7201082004,TOIBA
720108,7201082003,TRANS MAYAYAP
720102,7201022042,BALANGA
720102,7201022015,BOHOTOKONG
720102,7201021014,BUNTA I
720102,7201021025,BUNTA II
720102,7201022041,DEMANGAN JAYA
720102,7201022016,DONDO SOBOLI
720102,7201022023,HION
720102,7201022031,HUHAK
720102,7201021048,KALAKA
720102,7201022044,KALUMBANGAN
720102,7201022049,KOILI
720102,7201022017,LAONGGO
720102,7201022043,LONGGOLIAN
720102,7201022032,LONTIO
720102,7201022030,MATABAS
720102,7201022028,NANGA-NANGAON
720102,7201022045,POLO
720102,7201022026,PONGIAN
720102,7201021047,SALABENDA
720102,7201022029,TOIMA
720102,7201022024,TOMBONGAN ULOS
720102,7201022027,TUNTUNG
720103,7201032013,BABANG BUYANGGE
720103,7201032008,DIMPALON
720103,7201032019,DIMPALON BARU
720103,7201032001,KALOLOS
720103,7201031006,KINTOM
720103,7201032004,MANYULA
720103,7201031010,MENDONO
720103,7201031017,MONDONUN
720103,7201032003,PADANG
720103,7201032007,SAMADOYA
720103,7201032009,SOLAN
720103,7201032015,SOLAN BARU
720103,7201032002,TANGKIANG
720103,7201032005,ULING
720105,7201052027,BAHARI MAKMUR
720105,7201052015,BARUGA
720105,7201052014,BONEBOBAKAL
720105,7201052010,KAGITAKAN
