district_code,name,label
920313,9203132001,ANDAMATA
920313,9203132003,ARGUNI
920313,9203132004,FIOR
920313,9203132005,FURIR
920313,9203132002,TAVER
920307,9203072010,BUMI MOROH INDAH
920307,9203072008,MEKARSARI
920307,9203072014,ONIM JAYA
920307,9203072007,ONIMSARI
920307,9203072009,PINANG AGUNG
920307,9203072012,TESHA
920307,9203072015,WONO REJO
920301,9203011001,FAK FAK SELATAN
920301,9203011002,FAK FAK UTARA
920301,9203012007,GEWERPE
920301,9203012011,LUSI PERI
920301,9203012012,WRIKAPAL
920302,9203022002,KIAT
920302,9203022010,KWUHKENDAK
920302,9203022012,PAHGER NKINDIK
920302,9203022014,PORUM
920302,9203022011,PURWAHAB TONGGO
920302,9203022003,PURWASAK
920302,9203022001,WERBA
920302,9203022013,WERBA UTARA
920302,9203022008,WURKENDIK
920305,9203052007,AIR BESAR
920305,9203052006,BRONGKENDIK
920305,9203051001,DANAWERIA
920305,9203052013,HAMBRANGKENDIK
920305,9203052009,KANANTARE
920305,9203052003,KATEMBA
920305,9203052002,KAYU MERAH
920305,9203052008,MANDOPMA
920305,9203052004,NEMEWIKARYA
920305,9203052010,PASIR PUTIH
920305,9203052011,PIRMA
920305,9203052005,RADURIA
920305,9203052012,SAKARTEMIN
920305,9203052014,UNIPOKPOK
920303,9203032012,KIRIA BISA
920303,9203032013,SAHAREI
920303,9203032004,SANGGRAM
920303,9203032001,TUNAS GAIN
920303,9203032003,URAT
920303,9203032010,WERI
920312,9203122005,KALAMANUK
920312,9203122003,KOTAM
920312,9203122009,KRABELANG
920312,9203122004,KWAMA
920312,9203122002,WAMBAR
920312,9203122010,WAMBAR TIMUR
920312,9203122001,WASERAT
920312,9203122007,WAYATI
920312,9203122008,WAYATI BARAT
920312,9203122006,WAYATI TIMUR
920316,9203162003,GAR
920316,9203162004,RUMBATI
920316,9203162001,SALAKITI
920316,9203162007,SENGKITI
920316,9203162006,TANEHAMUR
920316,9203162002,TAWAR
920316,9203162008,TWOOTKINDIK
920316,9203162005,WERFRA
920306,9203062004,ANTALISA
920306,9203062002,FAUR
920306,9203062003,KIABA
920306,9203062001,MALAKULI
920306,9203062007,MAS
920306,9203062005,TARAK
920306,9203062006,TUBERWASAK
920315,9203152004,HOMORKOKMA
920315,9203152001,KABURBUR
920315,9203152006,KAYUNI
920315,9203152007,KUAGAS
920315,9203152009,MANANMUR
920315,9203152005,PATTUKAR
920315,9203152008,RANGKENDAK
920315,9203152002,UBADARI
920315,9203152010,WARPA
920304,9203042013,BATUFIAFAS
920304,9203042011,KAMPUNG BARU
920304,9203042031,KIMINA KRA
920304,9203042014,KINAM
920304,9203041001,KOKAS KOTA
920304,9203042024,KRIAWASWAS
920304,9203042021,MAMBUNIBUNI
920304,9203042003,MANDONI
920304,9203042030,MASINA
920304,9203042029,PANG WADAR
920304,9203042012,PATIMBURAK
920304,9203042008,SEKAR
920304,9203042010,SISIR
920304,9203042028,SOSAR
920304,9203042009,UGAR
920308,9203082012,BAHBADAN
920308,9203082016,GEWAB
920308,9203082001,KRAMONGMONGGA
920308,9203082011,KWAMKWAMUR
920308,9203082008,MAMUR
920308,9203082018,MBAHAM MA YOUN
920308,9203082009,NEMBUKTEB
920308,9203082010,PIKPIK
920308,9203082017,TENTREDA
920308,9203082007,WARGEP
920314,9203142001,DAREMBANG
920314,9203142002,GORAS
920314,9203142007,GORAS SELATAN
920314,9203142006,MBAHAMDANDRA
920314,9203142003,MITIMBER
920314,9203142004,WAREMU
920314,9203142005,WOS
920310,9203101003,DULANPOKPOK
920310,9203102005,KAPAURTUTIN
920310,9203102006,SEKBAN
920310,9203102008,SEKRU
920310,9203102009,SUKURU TUARE
920310,9203102004,TANAMA
920310,9203102007,TOREA
920310,9203101001,WAGOM
920310,9203101002,WAGOM UTARA
920309,9203092011,ADORA
920309,9203092022,BISA
920309,9203092002,DEGEN
920309,9203092017,MAWAR
920309,9203092021,MUHRI
920309,9203092020,OFFIE
920309,9203092014,PATIPI PASIR
920309,9203092015,PATIPI PULAU
920309,9203092001,PUAR
920309,9203092005,SUM
920309,9203092003,TETAR
920309,9203092018,TIBATIBANANAM
920309,9203092012,US
920317,9203172001,MBIMA JAYA
920317,9203172005,OTOWERI
920317,9203172007,SALAWIER
920317,9203172004,TOMAGE
920317,9203172009,WAMMAR
920317,9203172006,WAMOSAN
920317,9203172002,WARISA MULYA
920317,9203172008,WASA MULYA
920317,9203172003,WONODADI MULYA
920311,9203112006,KAMANDUR TETAR
920311,9203112004,SIBORU
920311,9203112005,SIPATNANAM
920311,9203112003,WARTUTIN
920311,9203112002,WERABUAN
920311,9203112001,WERPIGAN
920802,9208022007,ADI JAYA
920802,9208022003,EDOR
920802,9208022009,ESANIA
920802,9208022005,GAKA
920802,9208022006,GURIASA
920802,9208022010,HIA
920802,9208022001,KAMBALA
920802,9208022008,NUSAULAN
920802,9208022004,TAIRI
920802,9208022002,YARONA
920801,9208012013,COA
920801,9208012008,FOROMA JAYA
920801,9208012016,JARATI
920801,9208011001,KAIMANA KOTA
920801,9208012012,KAMAKA
920801,9208011014,KROOY
920801,9208012004,LOBO
920801,9208012011,LUMIRA
920801,9208012010,MAI MAI
920801,9208012002,MARSI
920801,9208012009,MURANO
920801,9208012003,NAMATOTA
920801,9208012019,ORAY
920801,9208012017,SARA
920801,9208012015,SARIA
920801,9208012007,SISIR
920801,9208012006,TANGGAROMI
920801,9208012005,TRIKORA
920801,9208012018,WERUA
920805,9208052004,BAHUMIA
920805,9208052007,KOOY
920805,9208052001,RAUNA
920805,9208052003,UBIA SERMUKU
920805,9208052005,WAHO
920805,9208052006,WAMESA
920805,9208052002,WERAFUTA
920803,9208032019,AFU AFU
920803,9208032020,BAYEDA
920803,9208032012,BOFUWER
920803,9208032018,BOROGERBA
920803,9208032027,ERIGARA
920803,9208032002,FETERNU
920803,9208032016,FUDIMA
920803,9208032001,FURNUSU
920803,9208032031,GUSI
920803,9208032025,KENSI
920803,9208032022,KOKOROBA
920803,9208032024,MASKUR
920803,9208032021,MOYANA
920803,9208032028,PIGO
920803,9208032010,SAWATAWERA
920803,9208032003,SAWI
920803,9208032030,TIWARA
920803,9208032004,TUGARNI
920803,9208032029,TUGUMAWA
920803,9208032023,WAINAGA
920803,9208032014,WANGGITA
920803,9208032032,WARUA
920803,9208032013,WARWARSI
920803,9208032017,WESWASA
920806,9208062004,EGERWARA
920806,9208062013,INARI
920806,9208062001,JAWERA
920806,9208062005,KUFURIYAI
920806,9208062006,MANGGERA
920806,9208062012,NAGURA
920806,9208062002,RUARA
920806,9208062016,SERARAN
920806,9208062015,SUMUN
920806,9208062007,TANUSAN
920806,9208062010,UKIARA
920806,9208062008,URISA
920806,9208062014,WANOMA
920806,9208062009,WAROMI
920806,9208062003,WERMENU
920804,9208042004,BAMANA
920804,9208042002,BOIYA
920804,9208042003,NARIKI
920804,9208042001,RURUMO
920804,9208042005,SIAWATAN
920807,9208072005,HAIRAPARA
920807,9208072006,OMBA PAMUKU
920807,9208072001,URE
920807,9208072003,URUBIKA
920807,9208072004,WAGOHA
920807,9208072002,WOSOKUNO
920231,9202312008,AIMASI
920231,9202312010,BEDIP MATOA
920231,9202312007,BOGOR
920231,9202312006,KALI AMIN
920231,9202312001,KERENU
920231,9202312009,LISMAUNGU
920231,9202312003,UDAPI HILIR
920231,9202312005,UHYEHEBRIG
920231,9202312002,WASEGI INDAH
920231,9202312004,WASEKI POP
920212,9202121004,AMBAN
920212,9202122008,INGRAMUI
920212,9202121001,MANOKWARI BARAT
920212,9202121006,MANOKWARI TIMUR
920212,9202121005,PADARNI
920212,9202121002,SANGGENG
920212,9202122009,SORIBO
920212,9202122010,TANAH MERAH INDAH
920212,9202122007,UDOPI
920212,9202121003,WOSI
920215,9202152014,ACEMO
920215,9202151002,ANDAY
920215,9202152011,ANGGRESI
920215,9202152006,DIHARA
920215,9202152016,DOBUT
920215,9202152003,KATEBU
920215,9202152008,MARUNI
920215,9202152004,MASYEPI
920215,9202152009,MISAPMEYSI
920215,9202152012,MUPI
920215,9202152018,NGUNIMBOUW
920215,9202151001,SOWI
920215,9202152007,WALURI
920215,9202152015,WAMESA
920215,9202152017,WARKOMI
920215,9202152005,WARMOMI
920215,9202152013,WARSWAMI
920215,9202152010,WASAI
920213,9202132006,AIPIRI
920213,9202132005,AROWI
920213,9202132003,AYAMBORI
920213,9202132004,BAKARO
920213,9202132002,MANSINAM
920213,9202131001,PASIR PUTIH
920213,9202132007,SUSWENI
920214,9202142011,ASAI
920214,9202142007,BREMI
920214,9202142020,CABANG DUA
920214,9202142022,INDOU OUFA
920214,9202142017,INODUAS
920214,9202142018,LEBAU
920214,9202142013,MEYUNFOKA
920214,9202142009,PAMI
920214,9202142015,SAIRO
920214,9202142008,SAUBEBA
920214,9202142014,TANAH RUBUH
920214,9202142001,YOOM I
920214,9202142004,YOOM II
920205,9202052009,BOWI SUBUR
920205,9202052016,IGOR
920205,9202052038,JOWEN
920205,9202052034,KOYANI
920205,9202052015,MANSABURI
920205,9202052001,MASNI
920205,9202052020,SEMBAB
920205,9202052002,SUMBER BOGA
920205,9202052037,UNDI
920205,9202052008,WARIORI
920205,9202052014,YENSUM
920205,9202052027,YONSORIBO
920233,9202332010,ASKA
920233,9202332002,KALI MERAH
920233,9202332004,MACUAN
920233,9202332007,MAKWAN
920233,9202332009,MANTEDI
920233,9202332005,MEIFORGA
920233,9202332006,MUARA PRAFI
920233,9202332003,PRAFI BARAT
920233,9202332001,SIBUNI
920233,9202332008,UREY
920232,9202322012,AIWOW
920232,9202322007,AMBER
920232,9202322008,ASARBEY
920232,9202322010,BAHAMYENTI
920232,9202322001,DUWEIBEY
920232,9202322003,FIGOUD
920232,9202322011,KIPUWAU
920232,9202322004,KWAU
920232,9202322002,MINGRE
920232,9202322009,MINOQBEI
920232,9202322005,MOKWAM
920232,9202322006,SYOU
920235,9202352006,INYA
920235,9202352010,INYEI
920235,9202352002,MANDOPI
920235,9202352005,MEYES
920235,9202352001,MUBRAIDIBA
920235,9202352003,MUBRI
920235,9202352009,SINGGIMEBA
920235,9202352004,TELUK MUBRI
920235,9202352007,WARBEFOR
920235,9202352008,YONGGAM
920204,9202042003,DESAY
920204,9202042008,INGKWOISI
920204,9202042016,MEBJI
920204,9202042001,PRAFI MULYA
920204,9202042010,SOMI
920204,9202042002,UMBUY
920221,9202212001,KAIRONI
920221,9202212004,KASSI
920221,9202212011,MANGGUPI
920221,9202212008,MEYOF I
920221,9202212005,SARAY
920221,9202212002,SIDEY
920221,9202212006,SIDEY BARU
920221,9202212012,SIDEY JAYA
920221,9202212007,SIDEY MAKMUR
920221,9202212003,WARAMUI
920221,9202212009,WARIKI
920221,9202212010,WOMNOWI
920217,9202172002,AYAWI
920217,9202172012,CUYEHEP
920217,9202172013,HANGHOUW
920217,9202172007,IMBEISIKA I
920217,9202172008,IMBEISIKA II
920217,9202172016,IMBOITI
920217,9202172011,IMHASUMA
920217,9202172018,INDIBO
920217,9202172005,MBATMA
920217,9202172021,MENYUMFOKU
920217,9202172023,MIROWI
920217,9202172004,MISABUGOID
920217,9202172014,NINGDIP
920217,9202172010,REMBUY
920217,9202172020,UKEMBOISI
920217,9202172003,UKOPTI
920217,9202172019,UMNUM
920217,9202172006,URWAMBEI
920217,9202172015,WARAMI
920217,9202172017,WARIARI
920217,9202172001,WARKAPI
920217,9202172009,WARMAWAI
920217,9202172024,WARNYETI
920217,9202172022,WEDONI
920203,9202032001,DINDEY
920203,9202032015,DUWIN
920203,9202032012,GUENTUY
920203,9202032003,HINGK
920203,9202032017,IBOISRATI
920203,9202032016,IBUWAU
920203,9202032002,INDISEY
920203,9202032023,INDONBEY
920203,9202032010,MADRAT
920203,9202032006,MENY
920203,9202032013,NGUNGGUEN
920203,9202032005,NIMBAY
920203,9202032011,SNAIMBOY
920203,9202032014,SOTEA
920203,9202032018,SRAINDABEY
920203,9202032009,SUBSAY
920203,9202032007,TANAH MERAH
920203,9202032008,UMCEN
920203,9202032004,WARMARE
920234,9202342009,AURMIOS
920234,9202342003,MEMBOWI
920234,9202342006,MEREJEMEG
920234,9202342008,MEYERUK
920234,9202342002,MEYOF II
920234,9202342001,MOUBJA
920234,9202342010,MUARA WARIORI
920234,9202342004,RIRINFOS
920234,9202342007,WAMFOURA
920234,9202342005,WARIORI INDAH
921104,9211042009,DESRA
921104,9211042012,DIBERA
921104,9211042007,DIHISU
921104,9211042002,DUHUGESA
921104,9211042006,HUGOMOT
921104,9211042008,INYUARA
921104,9211042001,ISIM
921104,9211042010,MINDERMES
921104,9211042011,SIBJO
921104,9211042005,TOHOSTA
921104,9211042003,TUBES
921104,9211042004,UMOHOUSI
921105,9211052001,DEMBEK
921105,9211052006,DEMINI
921105,9211052004,GAYA BARU
921105,9211052002,NIJ
921105,9211052003,SIWI
921105,9211052005,WAREN
921105,9211052007,YEKWANDI
921103,9211032006,ARYAWENMOHO
921103,9211032005,BENYAS
921103,9211032002,DISI
921103,9211032003,HIYOU
921103,9211032007,NENEY
921103,9211032004,SESUM
921103,9211032001,WAMA
921102,9211022013,AKEJU
921102,9211022004,MARGO RUKUN
921102,9211022009,MARGOMULYO
921102,9211022007,MASABUI
921102,9211022014,MASABUI II
921102,9211022005,MUARI
921102,9211022001,ORANSBARI
921102,9211022002,SIDOMULYO
921102,9211022011,SINDANG JAYA
921102,9211022012,WANDOKI
921102,9211022008,WARBIADI
921102,9211022010,WARKWANDI
921102,9211022003,WAROSER
921102,9211022006,WATARIRI
921101,9211012007,ABRESO
921101,9211012006,BAMAHA
921101,9211012008,HAMAWI
921101,9211012011,HAMOR
921101,9211012009,KOBREY
921101,9211012013,MAMBREMA
921101,9211012002,NUHUWEI
921101,9211012001,RANSIKI
921101,9211012005,SABRI
921101,9211012012,SUSMOROF
921101,9211012004,TOBOU
921101,9211012010,WAMCEI
921101,9211012003,YAMBOI
921106,9211062003,KAPRUS
921106,9211062002,REYOB
921106,9211062004,SEIMEBA
921106,9211062001,YARMATUM
921201,9212012008,AYAUBEY
921201,9212012012,HUNGKU
921201,9212012002,IGEMBAI
921201,9212012003,IMBAI
921201,9212012001,IRAIWERI
921201,9212012007,MENTUBEY
921201,9212012010,PAMAHA
921201,9212012013,SRUBEY
921201,9212012005,SUSI
921201,9212012004,SUTEIBEY
921201,9212012009,TESTEGA PAMAHA
921201,9212012006,ULLONG
921201,9212012011,UPER
921202,9212022008,ITKAU
921202,9212022002,KROBUT
921202,9212022007,NGISROW
921202,9212022004,SAKUMI
921202,9212022001,SIBIOGUD
921202,9212022006,SISRANG
921202,9212022005,TOMBROK
921202,9212022003,TUBYAM
921207,9212072005,AIGA
921207,9212072002,BIGWAIMUD
921207,9212072014,BINGGRAYUD
921207,9212072001,CATUBOUW
921207,9212072021,COIJUT
921207,9212072019,IDEMAI
921207,9212072011,IJIGREG
921207,9212072006,IMANDRIGO
921207,9212072012,JIM
921207,9212072004,KAUNGWAM
